from,to,same_frequency,frequency_Hz,M_uH,k_effective,P_from_to_W,Q_from_to_VAR,S_from_to_VA,P_to_from_W,Q_to_from_VAR,S_to_from_VA,Pmax_matched_from_to_W,Pmax_matched_to_from_W,omega_rad_s
B4_C3,B4_C8,True,128000.0,1.2433979929054324,0.0025,-0.004004156482628309,2.866663392588267,2.866666189090528,0.004004156482628321,2.866663392588267,2.866666189090528,0.03581038780481914,0.03585628161715669,804247.719318987
B4_C3,B3_C3,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_C3,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.12321373221592,6.015870386297286,11.775829175597515,10.12321373221592,6.015870386297286,11.775829175597515,0.4950428010138198,0.6050538041881393,804247.719318987
B4_C4,B4_C5,True,128000.0,1.2433979929054324,0.0025,-0.004004156482642043,2.86666339258827,2.8666661890905307,0.004004156482642105,2.86666339258827,2.8666661890905307,0.035810387804819224,0.03585628161715669,804247.719318987
B4_C4,B4_C6,True,128000.0,1.2433979929054324,0.0025,-0.004004156482632162,2.866663392588272,2.866666189090533,0.004004156482632248,2.866663392588272,2.866666189090533,0.035810387804819224,0.035856281617156746,804247.719318987
B4_C4,B4_C7,True,128000.0,1.2433979929054324,0.0025,-0.004004156482641229,2.866663392588268,2.866666189090529,0.0040041564826412005,2.866663392588268,2.866666189090529,0.035810387804819224,0.03585628161715665,804247.719318987
B4_C4,B4_C8,True,128000.0,1.2433979929054324,0.0025,-0.004004156482632014,2.8666633925882703,2.866666189090531,0.004004156482631988,2.8666633925882703,2.866666189090531,0.035810387804819224,0.03585628161715669,804247.719318987
B4_C4,B3_C4,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_C4,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.123213732215937,6.015870386297279,11.775829175597526,10.12321373221594,6.015870386297279,11.775829175597528,0.4950428010138208,0.6050538041881393,804247.719318987
B4_C5,B4_C6,True,128000.0,1.2433979929054324,0.0025,9.812017509857941e-15,2.8685025293725372,2.8685025293725372,-9.824193130019769e-15,2.8685025293725372,2.8685025293725372,0.03585628161715669,0.035856281617156746,804247.719318987
B4_C5,B4_C7,True,128000.0,1.2433979929054324,0.0025,8.532704306664154e-16,2.8685025293725337,2.8685025293725337,-8.630739439447291e-16,2.8685025293725337,2.8685025293725337,0.03585628161715669,0.03585628161715665,804247.719318987
